Data Source,Indicadores del desarrollo mundial,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66
Last Updated Date,44706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egipto, República Árabe de",EGY,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,680000,2310000,30000,700000,130000,8000000,61000000,104777603.41620401,318166137.20286298,1216285716.0232699,548285715.06897998,752571429.64653099,293571428.990816,490000000.69999999,729142857.57687104,1177571428.57143,1217428571.42857,947714285.71428597,1190000000,1250181818.1818199,734000000,253000000,459000000,493000000,1256000000,598000000,636000000,890550000,1076000000,1065300000,1235000000,509900000,646900000,237400000,1253300000,5375600000,10042800000,11578100000,9494600000,6711600000,6385600000,-482700000,2797700000,4192200000,4612200000,6925200000,8106800000,7408700000,8141300000,9010100000,5851800000,
Zona del Euro,EMU,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,2687319465.5008669,3892857216.4769435,5017927465.8246927,6553991932.1018543,7696387691.0708704,6247329414.4646626,5074944909.3544264,7248983511.6633482,9372703584.4021797,10307935884.631216,10484468783.16254,9512933191.2837238,8274369139.592577,9337466556.8804607,9314912357.5960369,9960639373.0016155,13220773734.968401,23114251787.509323,33951312059.3853,45551979409.19001,60745451145.835892,55020865055.574371,60351966220.326027,59194428819.085403,56543236300.813522,79799727017.802963,93626161603.917419,90990871368.742142,173217335504.73944,352402487684.37848,555032214048.43298,320365328198.27802,253270736530.02341,268978093222.56683,270126278137.09283,632976939310.1604,817910758904.17871,1281457260369.1567,657121847577.17798,438150611676.91766,536184275606.20239,818245641430.65869,566198077928.62842,596208466657.14722,383684772097.42847,743248111860.95483,599284773700.92041,488704734848.98029,-14021769377.260035,25910141940.762886,65811174310.874527,
Eritrea,ERI,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,36669547.223124899,40797036.645433001,45493.277587711797,83222099.900000006,27870106.699999999,12131626.4,22766165.800000001,24999786.5,24103664.800000001,1431553.8,15375609.699999999,7206504,39000000,91000000,91000000,39000000,41357999.899999999,43859000,46511000,49323000,52305000,55468000,61015000,67116000,73828000,
España,ESP,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,222000000,202000000,268000000,390000000,358000000,682635310.55757797,477622019.88170803,607674770.01761305,1178156262.2980399,1396810448.79965,1492697189.6098001,1706766879.37235,1782685065.7511899,1622388936.1335399,1771829759.7617099,1967804468.4844601,3450598177.3475099,4570700793.2804298,7020568173.6717596,8428379548.6226902,13983611812.026501,12492782828.6164,13275723087.210501,10808165172.631701,8772628136.8735504,8281607344.6532001,9801379213.1159706,9433660064.5971394,15714658309.111,19628574139.8535,40509751188.428596,28909416991.4687,39359708554.152603,30744905690.6609,25268192650.577301,27007774843.364101,32927841460.4151,68229666915.145798,74088629877.405594,9549813317.1643906,36609340306.493599,26832032514.651001,20848479095.580002,47373243838.958603,32943256862.609402,23037070821.4534,44253339407.672302,31565354023.785801,58626179994.990997,24759067946.4016,33735353773.145599,
Estonia,EST,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82271988.644462198,168371544.55415499,218447607.214571,206807479.41085199,165850731.38242301,274049611.93643701,595587942.51428497,325892789.37793499,416214286.78788698,592889580.18247294,338234260.37691301,1038244664.19462,1086893435.1659501,3057558404.5985599,1758167635.56107,3033145919.8766298,1977264596.9638901,1866296946.5753,2592255114.54214,1119148299.05952,1787341526.5225101,1097942106.98722,1781648554.4811699,-715465129.88975203,925762256.70931602,1735775304.25104,1232538893.61203,3063087560.13098,3536187225.24435,
Etiopía,ETH,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,5845410.6308431895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000,3500000,17210000,14140000,21930000,288490000,260670000,69980000,134639999.90000001,349399999.89999998,255000000,465000000,545100000,265111675.48238501,545257102.17830396,222000572.994807,108537543.965443,221459581.36198401,288271568.25074399,628624805.99866498,278562822.16286099,1343876023.73137,1855052153.6410601,2626517918.3130002,4142937496.4632902,4017159564.6543398,3360419368.6529498,2548743427.3575401,2395799880.6598401,
Unión Europea,EUU,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,2899569468.7963548,4101957483.4902725,5247233595.4294748,6849955524.7709169,8012974185.9607687,6594486584.516695,4895513546.8621998,7411236947.0241127,9556880496.672472,10674298739.898535,10849499996.72381,9811504829.6949158,8777233645.8652859,9639295532.5770073,9617570868.5059052,10479696702.49724,14482696247.525749,23850125597.716824,36143075340.1259,48464549239.65889,64506841223.322517,64773304817.185806,63652598273.593224,69609296374.796356,72276352124.903488,110526695018.70882,109980233227.04686,116730539994.84261,220144082122.03082,452579930438.25073,633986714304.62268,366252770235.15118,295343566628.15344,293507610676.75653,313836058136.60394,731279014292.63733,911860089994.15771,1477512334051.5364,828460948198.703,478991025005.20752,539435757997.96844,877970479520.97473,588029691677.78479,609590957016.4353,430712807573.77905,773435451998.33105,729754318977.73865,540001730780.33813,-34153516241.815346,178399368431.94034,296059225648.03784,
Frágiles y situaciones de conflicto afectados,FCS,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,688569999.60000002,694550000.10067999,265599984.53910974,341784999.59531593,96138874.411608934,435463580.53487837,82121246.694339514,114816658.91922724,-129582797.56082468,167764191.8865262,-1328336626.5352895,358918746.30610931,595042323.36418879,359910767.50675553,355433565.96262825,1230989559.8075516,124851458.33412187,847117444.45839167,813163384.64705729,2378108795.3145885,1369311614.4418862,3510644260.6735249,2816887403.2276831,3328610291.8569627,3455835060.3341641,2840696123.6688724,4440381611.7152987,10972340358.379356,9412302684.3264389,7068857326.5376768,9019389106.658783,9505290523.7308102,9917884445.4802341,16260722556.023527,15547613148.861378,20809819115.656433,22793094185.279579,34551175320.9356,37676572699.632973,30639410067.585972,33118050268.373867,40202909870.749016,42254179397.339104,30677963710.026009,20678685415.140221,26697204688.019836,21720286102.621338,24307835988.177349,20177045236.356396,19242678123.593826,19727046338.853802,
Finlandia,FIN,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,18000000,25000000,37000000,13000000,35000000,68270104.616926104,57984170.908538602,48060229.199646197,33797154.832469098,27528009.749234799,27949721.281473801,99646702.726632297,910574.13283851405,84470656.842189997,136184676.07309601,112511585.51363,405308277.25387001,273394061.10831398,531741374.92532402,490175830.76509702,812172838.21917605,-232904201.903945,396369713.714145,863526070.91789305,277840045.04379499,1450710446.1037199,752969481.73625398,2454075989.1136398,12514915951.382601,7797795098.6813202,13502068644.6075,3224710299.84935,8094575465.0897999,5965369887.3225698,6777097341.6197796,10867806670.7034,4638725790.3314896,21979356204.666199,19406664159.178799,-8825823233.8059101,12221008932.1761,-6008001205.1749697,4931090894.98316,-4922279528.5192204,17528599997.111698,17485137455.997898,5124075140.9157801,17149122038.4331,-10571698824.826,15611668561.8507,-2368877283.6841798,
Fiji,FJI,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,6400000,6500000,8500000,15699999.9,14300000,14100000,7330000,17100000,12190000,10170587.689665001,36334087.8249029,36249750.055067599,36827764.642086901,31946263.970415201,23314315.2854096,21672150.9326871,8032725.2644681204,16159396.501477299,31602682.499082401,30606741.573033798,-30386755.876179699,-40188200.0532002,37791314.983624399,-3243015.3556777099,-31281482.113890599,-22683100.260725301,-72186987.814437404,-60193603.130898602,20334035.1819074,-147083835.755537,591375.11462613603,41301896.350276202,30672578.330251899,40310494.542148396,250597673.08284599,172951928.727855,583975309.32313502,464230334.10929698,679220489.28009105,308373711.00325298,178091735.587235,217158525.72872201,277313671.99180901,243782754.03669199,377869372.267012,205373209.116505,391619655.40088201,387602565.30544603,468861002.87623501,322282826.11583298,239380737.903611,
Francia,FRA,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,621212781.70000005,525655900,656666980.5,1125479247,1846644388,1563849883.2595501,977422843.56405103,1896159371.6527901,2471468400.4840398,2588309412.6637902,3282773277.8703098,2469631624.9973001,1585298782.09975,1725670868.5376101,2397989218.95718,2595492779.80055,3255870956.3632698,5139716801.6567802,8489906284.2932701,10303924628.9084,13183285334.811001,15152742089.8424,21839501253.074001,20754044035.6782,15797125294.9865,23736300874.0228,21971888803.002399,23047924754.756001,29518429032.211399,45971216472.087898,41389082664.761597,50142053918.889702,51550483853.850502,42350800678.351097,35608535812.872101,85137061931.254105,78957053786.134598,83777598395.450806,67997446904.973,18422928061.912701,38889439213.312698,44205811126.579201,32944663317.872299,31589283790.5546,5804878132.6666298,42825414105.9412,32803666728.5947,35868111746.037804,77493098693.237305,57482772401.485397,13242547815.092199,
Islas Feroe,FRO,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia (Estados Federados de),FSM,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,20209300,,,,,,,
Gabón,GAB,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,-700000,15699999.9,17399999.899999999,15900000,79599999.900000006,166900000,38700000,34899999.899999999,56546282.408844203,55048465.0520873,31522217.0310212,54575942.022219002,131738211.44436499,111844131.911157,8124375.4311378403,15091384.2509476,110249347.782176,89806044.843039304,132550733.91572499,-30532121.000097498,73457901.590088099,-54589233.794470303,126940086.185977,-113715590.728322,-99602903.996859506,-195496960.29552099,-285112515.09899402,-114712203.81161501,132605754.18622001,89452781.626372606,278061231.96768498,-100615451.014713,1160708.31013769,99666154.023340598,313970792.03963798,326161877.89787698,267805000,654808577.18885303,693511288.98899901,635674956.84835196,523939106.19184399,1123536918.9849701,677327365.54555702,324032442.445876,1263109047.12989,41707702.326465502,1243660160,1314029330,1379070816,1553136875,1716511506,
Reino Unido,GBR,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,1487998811.68415,1771224349.2066,1207963191.18523,2722732319.90587,4373743379.6399603,3318535789.6307902,3006207709.47437,4426545753.9691696,3787370849.0920401,6469481160.4453201,10122844315.815701,5879375698.1758604,5413259759.4173899,5178781725.9357405,-347322544.78319103,5476472897.1880302,8569621721.7659702,13074923701.840599,26430921298.434601,27108240789.391399,41363405438.826401,23244186242.4529,23011210833.683102,19686257926.648499,19561337402.3078,29129258040.8363,32412668835.252201,51311836383.820801,109817612847.493,129891584490.274,164130335444.12299,56090924808.7938,89760582753.223495,36011240472.834099,87059621382.283905,252653397148.11099,203636431868.24399,209514959646.90799,253454117907.32199,14547108445.0914,66734551294.091301,27012050072.3452,46750789727.726402,54473175400.241501,58890445252.713997,45333483122.089897,324813224213.021,125358809934.121,-25055440306.907299,2236675458.2614598,31058892892.113499,
Georgia,GEO,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,8000000,,,242500000,265300000,82300000,131466678.34,109871635.48999999,160398660.46000001,334891041.62,492732940.00999999,453107292.00999999,1171394522.25,1892093991.0999999,1602232455.97,660800885.26999998,920915812.73000002,1170087549.5,968196197.63,1046562195.15,1836879042.8299999,1735285391.9000001,1659819993.3199999,1920628293.25,1270488180.8399999,1366159725.24,533969244.76999998,
Ghana,GHA,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,67799999.900000006,30600000,11500000,14400000,14270000,70869954.999084502,-18260969.9999066,19217479.383850101,9696236.5649719201,-2800000,15600000,16263751.999969499,16300000,2400000,2000000,5600000,4300000,4700000,5000000,15000000,14800000,20000000,22500000,125000000,233000000,106500000,120000000,81800000,167400000,243700000,165900000,89320000,58930000,136751000,139270000,144970000,636010000,1383177929.8545799,2714916343.69978,2372540000,2527350000,3247588000,3294520000,3227000000,3363389444.4444399,3192320530.7897,3485333369.2796402,3254990000,2989035000,3879831469.6999998,1875782953.4690499,
Gibraltar,GIB,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,780000,1450000,870000,-700000,-1830000,630000,-520000,560000,-1310000,-400000,380000,700000,1110000,8400000,12850000,15680000,12330000,17860000,38770000,19690000,2720000,210000,769000,23774000,17301000,17810000,63452427,9942000,1677000,30000000,78966000,97900000,105000000,125000000,385900000,381880000,91030000,0,956060000,605560000,189999.99999999901,-73758603.663593307,53272458.421299398,1618447260.2648499,577590000,352760000,44400000,176350000,
Gambia,GMB,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,100000,1700000,1700000,1399999.8999999999,1200000,100000,900000,-560000,2104763.2263656398,12364861.597064899,280000,2009878.3417044701,270000,-400000,-1700000,-500000,-1990000,1525217.6635835499,1177623.9691413599,13713834.3210935,14119999.9,9270433.3394391406,6323269.1863197796,10741221.6768598,9716366.6703736596,7729249.0722542703,10655113.9800558,11666476.037973201,23699999.899999999,49479999.899999999,43520000,35479999.899999999,42826999.899999999,18272720.342347,55526319.440783098,53650280.019084103,82208102.587764993,78094820.958579406,70792382.320713803,39447343.708400503,37140887.813173398,36077136.081373498,41183457.769836597,68340322.378848001,23014092.042456102,71976051.703413799,69830172.212843999,64338516.035137199,81805006.595904499,71083305.866793707,189576190.794227,
Guinea-Bissau,GNB,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,-130000,,40000,,230000,,,0,0,2290000,1439999.8999999999,820000,120000,680000,470000,2020000,2089999.8999999999,5830000,3299999.8999999999,430000,40000,1030000,11479108.800000001,4407138.2000000002,730876.61300000001,702270.86300000001,395613.59628861502,3545253.6889372398,4005503.6868821699,1915633.35188715,8692468.0897568408,17887123.562082801,18770117.491920002,6630074.0277576204,18890200,26240200,25024047.388377,6624917.1927453401,19639703.798381101,28852727.688227799,18575499.447812699,14221700,15691197.9520896,20563818.217400499,71658680.337990195,20410380.280000001,
Guinea Ecuatorial,GNQ,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,-20000,,,-180000,450000,520000,2169999.8999999999,2439999.8999999999,5629999.9000000004,1679999.8999999999,500000,890258.96961270005,11073778.6647058,41324758.933502302,6018320.1575673101,22301675.635073099,16995533.492122401,126924170.67248499,376180404.220707,53451528.100000001,274768116.69999999,154296173.90000001,154499589.90000001,940741215.70000005,323391507.5,689779766,340914468.5,769146185.20000005,469506014.60000002,1242731087,-793872332.79999995,1636219625,2734000000,1975000000,985256411.5,582948701.89999998,167875182.59999999,233325072.80000001,53998812.899999999,304827249.5,396077780,452287112.10000002,529894746.10000002,
Grecia,GRC,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,50000000,42000000,55000000,62000000,67000000,24000000,305000000,387000000,428000000,613000000,672000000,520000000,436000000,439000000,485000000,447000000,471000000,683000000,907000000,752000000,1005000000,1135000000,1144000000,977000000,981000000,1053000000,1058000000,984000000,71200000,82701091.418312907,-8195469.2884553904,2001266.56220178,34180546.537064597,1408086698.6235099,2147927926.7583899,688484256.64908898,5411403362.2312202,1957124444.1944301,5733447473.2492905,2766296835.47191,532926980.50045502,1092191387.83039,1662090329.8380499,2945271844.6856999,2697339246.05446,1268938505.8633299,2698544612.1607399,3439131879.7551799,4025447788.5770102,4999635989.5369797,3303648833.2283502,
Granada,GRD,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,-100000,1400000,0,0,0,1900000,2500000,2800000,4111111.1111111101,4481481.4814814804,14722222.2222222,14981481.4814815,10481481.4814815,12874074.074074101,15274074.074074101,22581481.4814815,20248148.148148101,19311111.111111101,19977777.777777798,16962962.962963,33500000,48685185.185185201,41551851.851851903,37407407.407407403,58748148.148148097,54488888.888888903,89166666.666666701,65014333.333333299,70157129.629629597,89787148.148148105,156554796.66666701,134832583.33333299,102556362.962963,60420861.111111097,42648183.703703701,31489862.962963,74688413.333333299,106797167.694444,156442123.70851901,109856645.676727,155662145.33370399,184005688.97911099,198978976.599383,148811370.07464299,
Groenlandia,GRL,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,29399999.899999999,28600000,15900000,34799999.899999999,47399999.899999999,80000000,12500000,97500000,127200000,117000000,110700000,127100000,77100000,45000000,38000000,61800000,68800000,150200000,329900000,76200000,47700000,90700000,94100000,142500000,65200000,75200000,76900000,631400000,1346300000,924600000,-788600000,-936494410.38247001,-1016996773.78154,19488617.59936,321400000,540000000,635300000,859200000,731386670,499821250,1102460180,876760590,1399819890,1522143500,1407555280,1203355080,845786560,998344470,922397870,1169327140,853448620,
Guam,GUM,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,9000000,-2439999.8999999999,2500000,8199999.9000000004,1360000,800000,5009999.9000000004,-1764705.88304498,4019999.8999999999,588235.29434832803,588235.29434832803,-1777777.7784098799,4433333.33481111,4733333.3349111099,4489019.5194584001,1810974.2689134299,-9000000,4349999.9000000004,2100000,-2060000,7900000,12340000,146610000,69540000,106690000,74420000,59000000,52000000,44000000,46000000,67100000,56000000,43600000,26100000,30000000,76800000,102400000,152400000,178000000,164000000,198000000,246800000,277910000,200558390,237750048.55000001,137700000,162654036.35295901,327343651.21783,1180405596.06866,1695179887,1194482521.1708801,
Ingreso alto,HIC,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,9282565073.9818096,10893620619.823835,12431121668.027449,15594864874.858482,18940909014.771511,19632126468.08884,15673151355.359514,22196292628.013042,27300454576.332607,34508698836.502701,45642899986.169167,57045135253.068115,54216782124.607826,43776310257.812988,50639875834.299141,33401137667.222816,72161120409.793976,128773641536.40742,148074329197.35925,179478236077.46503,218519456636.36765,145361818233.61441,143816806014.51172,172412648666.67722,197378656437.89969,270977060425.36142,304221475574.19867,382015228440.18323,645398564604.02563,1045487721496.447,1422007114582.7056,733680936008.12866,601328063486.27185,575959580079.05347,792931606892.31018,1262470916396.2673,1811240587716.2527,2586756993251.0776,1846769314763.0066,1018022755189.8381,1299460425409.7014,1635095336114.0684,1397253326459.1616,1417503019321.6782,1282615859118.1338,2101798377097.0337,2172137642014.0881,1649239608145.7239,310706368066.46985,931312220120.47302,723885017025.23511,
"Hong Kong, Región Administrativa Especial",HKG,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,49822078,59483393.5,110442097,271274584.69999999,153444422.90000001,377359617.80000001,255361829.69999999,273737273,477382649.10000002,648065889.89999998,710201409.29999995,2062785582,1236856768,1144127082,1287739696,-267220620.90000001,1888313590,6249829234,4978949480,2041094981,3275072298,1020860063,3887467096,6929625915,7827938821,6213362504,10460173710,11368147930,13939361335.8582,25355410569.0154,70495739305.845795,31291719644.614899,6747855220.8176403,18567357065.233002,22194238604.966,40963127270.695396,44901793968.876404,62121011424.070297,67035187587.667198,54275707074.254303,82709142976.297806,96135081265.095306,74887135901.321899,76857453417.873703,129847455921.47501,181047431127.246,133259182324.99699,125716724339.795,97036255478.945908,58299361094.777397,117452284750.967,
Honduras,HND,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,8400000,7400000,3000000,6599999.9000000004,-1149999.9997616799,7000000,5250000,8900000,13150000,28200000,5800000,-3600000,13800000,21000000,20450000,27500000,30000000,38650000,48300000,51000000,43500000,52100000,47600000,26700000,34800000,50000000,90900000,121500000,99000000,237300000,349978000,309826700,287314900,390166272.91066301,592120092.94589698,601059572.180071,717591908.17782795,966926354.32795203,1200798087.0461299,494497450.52171803,607376418.07128704,1042571020.7703,1081346795.5882199,1069029263.15978,1704790710.0386801,1316679827.3359699,1147030449.99683,949955941.51777899,1442587576.2096,955095297.98042798,236016866.15963599,
Países pobres muy endeudados (PPME),HPC,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,306793998.89999992,143209999.60068002,259054984.03910977,380329998.89531589,377841909.97442734,513134920.59995258,541019849.46599317,421326634.48085147,695217442.33478618,694128839.63442552,789971792.47655058,754371998.28407061,483790872.03139776,188085491.37968618,203002617.81503323,578010393.09358716,-15811822.04715313,553089685.77925706,619129808.43283534,919883278.63439131,708906379.72822762,355549390.65693307,588676355.27594328,1219407235.4812541,1186793912.9574294,1683486031.8992174,1897157225.8816125,3333085605.6956596,4053908679.170907,4612014560.9599323,4053506919.8391609,4685371733.2278624,5891948332.0660248,6835601030.2341681,7421869791.4216461,8173539549.4829597,10332365706.390009,14870964638.097496,19424603891.378834,15638981017.258329,23685482487.420975,28509116253.005512,32570867572.605934,35188110502.382477,29399016622.813725,29884923327.187645,24657516709.155445,29558483727.817638,28397872153.206402,26991049814.047501,23353426116.601002,
Croacia,HRV,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000000,144186480.15365499,114440874.376863,108053139.664729,492528182.65630901,596514805.24647605,1004077219.78391,1454741833.6414599,1015069996.97348,1036758145.8720599,980784304.81326497,1846434012.0476899,1314179917.3329201,1814728743.1626401,3346611893.3291998,4645807617.3541803,5249620116.0288095,3069599255.9198198,1545050408.3373401,1248979435.6312499,1465100044.5276301,975476235.53465497,3187415809.47089,44642053.1601483,429948322.65349603,460160214.94172603,1319393496.3491199,3904101552.8301802,1178762632.51314,
Haití,HTI,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,2799999.8999999999,3400000.0006800001,4059985.0391097502,6979999.9953159504,7939993.4163289499,2640000.0005279998,7780000.0015559997,8000000.0016000001,10000000.002,12000000.0024,13000000.002599999,8340000.0016679997,7080000.0014159996,8420000.0016840007,4460000.0003716704,4920000,4820000,4680000,10100000,9360000,8000000,-1800000,-2200000,-2800000,-2799999.8999999999,7400000,4100000,4000000,10760000,30000000,13250000,4400000,5700000,13800000,5900000,26000000,160600000,74500000,29800000,55470000,178000000,119000000,156000000,161918586.25,99000000,105680000,104900000,374855000,105000000,75000000,30000000,
Hungría,HUN,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,553808999.89999998,1462141210.2598,1479165393.9273901,2349715110.5764399,1144083870.1178,4804151332.4327602,3288936448.5194302,4164123319.5914001,3261654749.7936101,3384965975.25316,2747712559.8138199,4058819560.6983399,3643428379.5199499,4157510420.3335199,4538099567.1578903,27489690204.0215,18678720024.686199,70631297038.916397,75107772943.204498,-2792080129.1221099,-20770280260.779999,10740966550.9834,10815928328.3018,-3586600504.51759,13060104658.7999,-5266437314.9647198,69681210262.328003,-12133055292.645201,-64364899191.414497,98216613286.189102,168928282034.85999,
Sólo BIRF,IBD,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,2491210759.6997557,2701384456.5995116,1733455900.9819801,3643465888.1276331,4566983788.2624502,5358210618.6674032,4026855174.5898118,4083549201.8715186,5849369132.90098,6847843445.2566376,8184029276.4765673,11764372050.864178,10142749445.88423,8806830918.7780609,8774437537.432497,10380259582.866045,9525871747.2974815,10320744869.729549,17500418326.436691,18794972020.761921,20018382892.431786,28864616906.758163,41229486167.928795,60246969395.22451,82321356263.907974,94465756718.579971,119617626373.27635,158615225275.74487,157366383090.51468,170024266256.04034,157038320215.72943,167388660649.47937,154301329143.93152,163220647862.14896,227840567425.82922,305025076245.03308,403256686597.59082,557517542647.07495,629138895885.34534,426954167825.25299,626191554384.73584,736265732048.19397,680349473661.26453,723949385593.62854,654425103541.89038,610000331140.51477,550301028226.3241,525414346451.05365,603298816909.3811,572418881393.82202,491650499707.66693,
