Data Source,Indicadores del desarrollo mundial,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66
Last Updated Date,44706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,19763999.899999999,1899999.8999999999,16204999.9,4599999.9000000004,44233000,61596999.899999999,-8100000,-1200000,11500000,35000000,47000000,75700000,31100000,7000000,7000000,10000000,10000000,38100000,-10100000,-24400000,27200000,52000000,93100000,123800000,130200000,392700000,474100000,730600000,949300000,1010500000,736350000,705756000,676543000,197400000,65430000,-238620000,280763457,366294241.53830302,512335605.23713899,423040000,621997989.54834795,858941070.40094304,1059965390.7848099,1749612614.3979101,656566350.80002999,554643532.29718304,335365530.42607701,712474137.77502203,302368781.37636,-216636843.13049999,-1116073638.50161,
Brasil,BRA,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,391699999.89999998,449000000,459899999.89999998,1180700000,1207900000,1302000000,1555000000,1833000000,2006000000,2419000000,1911000000,2520000000,2910000000,1609000000,1594000000,1441000000,345000000,1169000000,2804000000,1131000000,989000000,1103000000,2061000000,1292000000,3072000000,4859000000,12552000000,18992934310.646801,28855609916.419998,28385675614.9902,32994718699.75,23225846372.250999,16586600193.114,10123013670.990101,18161380459.7533,15459981604.1196,19418085598.079399,44579492463.633598,50716402711.478699,31480931700,82389932468.070007,102427228231.42,92568388321.339996,75211029129.399994,87713983217.240005,64738153494.440002,74294627801.190002,68885491315.229996,78162724370.350006,69174411753.429993,37786286307.449997,
Barbados,BRB,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,10868499.994565699,15656171.6384982,19139837.1938904,5630300.3103633597,2397684.5342294001,4489152.4832665799,6897500,4914000,8987000,30305500,29300000,37300000,35150000,16150000,36000000,4850000,7750000,7100000,25979409.309999999,8682963.9199999999,11213282.795,7424921.25,14450000,9402113.8699999992,12950000,63803750.149999999,15836484.060000001,28203499.050000001,29160482.23,47539505.119999997,73696943.905000001,91504910.939999998,228343253.80000001,184701288.595,228334500,390061395.86430001,342267498.21499997,476404576.95999998,615122884.63,356008255.11000001,425337312.58499998,459552936.36500001,528045664.50739998,104089451.15947799,753687476.11427999,688525943.30910504,557688983.73978496,206157362.69999999,241596499.90000001,215370128.59999999,262100000,
Brunei Darussalam,BRN,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,85530000,-17550000,-3779999.8999999999,290000,2080000,850000,-30890000,-3290000,4570000,350000,-19570000,-11109999.9,6210000,3620000,800000,3669999.8999999999,-6049999.9000000004,-70000,460000,10000000,7000000,5000000,7000000,8000000,5889999.9000000004,582760563.29999995,653600000,701740000,573250000,747868668.60000002,549607250.70000005,60694643.656784803,229671955.67539501,123820911.14642601,113205866.961457,175068516.56280699,87839128.313384801,257635717.488309,222184549.48916799,325586827.78662902,480722547,691170274.39999998,864905527.5,775641999.10000002,573906207.836339,171289167.82399499,-150550827.31031299,467927550.316567,516202620.62974602,373256767.24630398,565542275.42933202,
Bhután,BTN,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,420000,,,,,,,,,,,,,,,,1600000,600000,,,,50000,1399999.8999999999,-700000,,1050274.76,,,2425411.898,3370306.5260000001,8859907.5390000008,6210884.3509999998,6122702.1427110601,73855769.764881998,3144001.0194993601,18299707.234396301,75274009.028312594,31141614.860136501,24380673.5733894,20433631.065037899,23534931.751975998,6450953.8497443004,11884162.348511901,-16553759.952549299,2649454.3111845301,13011377.285726801,-2786960.8901314898,
Botswana,BWA,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,70000,-38268702.246782698,11270002.8304612,12233365.112382701,40813517.292993397,127851715.07126901,111550709.39760099,88438639.823806301,21074900.8946108,23793769.119755,62154696.152542897,53611787.592236497,70404390.657484993,113583514.209604,39921524.127229303,42186013.020588897,95889963.042410299,-8211493.7828438999,-1564184.9056156599,-286949434.08685201,-14154569.0110668,70413220.755547196,71182310.713666096,100109748.737479,95318134.921010494,36675065.782925896,57171341.354861997,30680571.208468299,407997392.45524001,418040676.13980699,390889251.85527098,420854175.01343602,486913109.10244799,494634226.15371501,520917902.31475502,208699298.20630199,218379837.56830901,293208060.474684,146084155.21184701,67136806.163499504,515184471.01723999,378554181.53007901,142522598.297582,260575129.351448,285955061.932015,93607130.032602102,80062758.739389703,
República Centroafricana,CAF,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,1200000,700000,1500000,-200000,5799999.9000000004,5599999.9000000004,3700000,-2845168.0713561098,6084486.3438356603,22757439.736733899,5343631.0852887304,5781443.3524548896,9153812.4283818491,4469041.6857038802,5149252.0338197602,2991566.4355860702,8160415.3177692397,11898718.6498225,-3827452.80303765,1285233.0195112899,697850.06510583695,-4874038.7316491399,-10676567.963142,-9980132.27944839,3602275.0089280098,6200565.7000000002,10925575.5,1497424,7300593.9469999997,5976946.5269999998,889074.90000000002,5183898.7999999998,5644286.5,11300000,15100000,10100000,34670000,56750000,117110000,42280000,61520000,36908455.799999997,70035157.299999997,1852792.6000000001,3475007.8999999999,3000000,7256090.4840000002,6888751.4009999996,18003535.460000001,25601157.289999999,34747196.469999999,
Canadá,CAN,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,1827117680.30674,2273318428.3666601,2110873961.07408,3184571500.5418901,3723538434.6826501,3386183402.5797701,2450721215.7578702,3371826624.08886,3740191707.6894898,5307737031.1262598,5813268734.7880297,663720808.26973498,90061244.113148093,4618560061.8769197,5675261448.8516798,1256760213.69256,2709677620.6849499,8597306053.6116505,7196400040.3341999,7171648940.4492197,8401707941.43435,3514220103.0437498,7018240062.8652601,4178460316.6970501,9541029101.65658,13657593613.337099,8817677647.2938004,15182400421.6905,24979208298.164902,27456044687.098701,68303350856.083603,28391098831.3382,24486425376.881901,7011792709.0463104,1452416545.21802,25552226940.928101,64302303096.866798,120451484862.004,70119614332.509506,20951090410.313202,29714744325.474098,38338330427.428001,49368985104.198898,67027866778.268204,64174605785.634697,59986208237.073502,34201872160.608501,25357801000.497002,42603762048.597099,48547493325.959396,26558536715.035,
Europa Central y del Báltico,CEB,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,0,0,0,0,0,6000000,5000000,25000000,30000000,10000000,18000000,14000000,16000000,28000000,15000000,16000000,12000000,15000000,11000000,646818999.89999998,1849041210.2598,2522640711.5718522,5563094008.7222824,5377514695.2417154,12558106072.369976,11262472730.750048,14298828886.724627,19665293910.294544,22103118135.40926,23562956308.442703,21625801492.510124,26481834432.686737,20414105077.808376,43043918533.349472,74726630916.375259,81628100565.990204,153392903966.07724,138571794675.03119,30638671436.093391,20999153919.609901,50013606914.83812,39263315156.29126,15349122065.425718,52915530475.919334,22467108647.543488,115651102268.12535,28978937690.891994,-21194240710.866806,151320839646.61691,209344031397.43622,
Suiza,CHE,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,642643620.49048102,777125995.86691797,1267334791.6772599,2122388474.7414999,2320291936.5384498,405248411.12553799,2497180494.2158098,5544796309.5159702,2838789160.7924199,1128487634.0919099,1706937974.44082,3682699144.7273402,4158247959.9538398,4880219415.7005196,8391921105.8955297,11345529735.0728,14541329307.9251,23080879762.676899,9765012889.0989799,8258050580.1781998,19721053893.3922,7102294152.7231998,2664910821.00245,53760772986.303398,48688296542.670097,2990936685.1085601,47658570354.732597,17670735602.922501,20764483834.502899,39943494321.638397,-24926465856.578499,21003091521.773399,118752400108.647,166801396968.92899,143235966548.55499,-160387834479.04001,8774913614.4783306,-257336256171.39899,
